data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8803692,170,COL9833,9833,"28 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Kennedy",4.6165,-74.146,1,"El Tiempo (Colombia); El Espectador",National,"On 28 January 2022, in Bogota - Kennedy (Bogota, D.C.), citizens rallied in a pot-banging protests in the Portal Americas area to commemorate and support several months of ongoing anti-government demonstrations called to demand health, education, and security reforms, among others. Protesters marched for nearly 20 minutes. [size=no report]",0,1643662935,COL
8803694,170,COL9838,9838,"28 January 2022",2022,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,15,"South America",Colombia,Santander,Bucaramanga,,Bucaramanga,7.1163,-73.1326,1,"Vanguardia Liberal; El Tiempo (Colombia)",Subnational-National,"On 28 January 2022, in Bucaramanga (Santander), demonstrators rallied near the UIS area to commemorate and support several months of ongoing anti-government demonstrations called to demand health, education, and security reforms, among others. The group clashed against police forces for several hours as some rioters used IED against police forces. [size=no report]",0,1643662935,COL
8803694,170,COL9838,9838,"28 January 2022",2022,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-)",,1,15,"South America",Colombia,Santander,Bucaramanga,,Bucaramanga,7.1163,-73.1326,1,"Vanguardia Liberal; El Tiempo (Colombia)",Subnational-National,"On 28 January 2022, in Bucaramanga (Santander), demonstrators rallied near the UIS area to commemorate and support several months of ongoing anti-government demonstrations called to demand health, education, and security reforms, among others. The group clashed against police forces for several hours as some rioters used IED against police forces. [size=no report]",0,1643662935,COL
8803805,170,COL9831,9831,"28 January 2022",2022,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,15,"South America",Colombia,Antioquia,Medellin,,Medellin,6.2496,-75.5774,1,"El Colombiano",Subnational,"On 28 January 2022, in Medellin (Antioquia), demonstrators rallied near the Barranquilla street to commemorate and support several months of ongoing anti-government demonstrations called to demand health, education, and security reforms, among others. The group clashed against police forces. Moreover, in the Parque Los Deseos area, witnesses claim an unidentified armed man opened fire at least 10 times on a group of demonstrators, injuring one person. [size=no report]",0,1643662936,COL
8803805,170,COL9831,9831,"28 January 2022",2022,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-)","Unidentified Armed Group (Colombia)",1,15,"South America",Colombia,Antioquia,Medellin,,Medellin,6.2496,-75.5774,1,"El Colombiano",Subnational,"On 28 January 2022, in Medellin (Antioquia), demonstrators rallied near the Barranquilla street to commemorate and support several months of ongoing anti-government demonstrations called to demand health, education, and security reforms, among others. The group clashed against police forces. Moreover, in the Parque Los Deseos area, witnesses claim an unidentified armed man opened fire at least 10 times on a group of demonstrators, injuring one person. [size=no report]",0,1643662936,COL
8803829,170,COL9836,9836,"28 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Colombia)","Farmers (Colombia)",6,60,"South America",Colombia,Cordoba,Tierralta,,Tierralta,8.1704,-76.0597,2,"El Heraldo (Colombia)",National,"On 28 January 2022, in the rural area of Tierralta municipality (Cordoba), farmers from the Alto Sinu area protested to demand that the national government comply with the peace agreements signed in 2016 with the FARC-EP. Among their demands, the group called for a halt to the forced destruction of coca crops. The group blocked the traffic near the Morales corregimiento for several hours [size=no report]",0,1643662936,COL
8803960,170,COL9834,9834,"28 January 2022",2022,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,50,"South America",Colombia,Caldas,Manizales,,Manizales,5.0577,-75.4911,1,"La Patria",Subnational,"On 28 January 2022, in Manizales (Caldas), demonstrators rallied near Centenario street. Rioters built barricades with rocks and other objects to block the traffic. The reason for the demonstration was not mentioned, but several groups gathered to commemorate and support several months of ongoing anti-government demonstrations called to demand health, education, and security reforms, among others. [size=no report]",0,1643662936,COL
8804074,170,COL9837,9837,"28 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Colombia)","Labour Group (Colombia)",6,60,"South America",Colombia,Santander,Bucaramanga,,Bucaramanga,7.1163,-73.1326,1,"Vanguardia Liberal",Subnational,"On 28 January 2022, in Bucaramanga (Santander), workers protested in the city center, blocking the traffic for several hours. The reason for the rally was not reported. [size=no report]",0,1643662936,COL
8803680,170,COL9815,9815,"27 January 2022",2022,2,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Antioquia,Medellin,,Medellin,6.2496,-75.5774,1,"El Tiempo (Colombia); El Colombiano",Subnational-National,"Around 27 January 2022, in Medellin (Antioquia), citizens protested against a politician from the CD political party who carried out a political campaign in the Comuna 13 neighborhood. Young protesters arrived with banners against the man. [size=no report]",0,1643662935,COL
8803845,170,COL9827,9827,"27 January 2022",2022,2,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Tolima,Ibague,,Ibague,4.4396,-75.1937,1,"El Nuevo Dia (Colombia)",National,"Around 27 January 2022, in Ibague (Tolima), residents of the Arkala sector protested to demand the improvement of the road infrastructure and the sewage system in the area. [size=no report]",0,1643662936,COL
8803857,170,COL9829,9829,"27 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,"Valle del Cauca",Guacari,,Guacari,3.763,-76.3345,1,"El Tiempo (Colombia)",National,"On 27 January 2022, in Guacari (Valle del Cauca), residents gathered in the main square to protest and demand the intervention of the national government in the case of a Colombian citizen detained in the United States. The man was rescued off the U.S. coast after the boat in which he and 40 others were attempting to enter illegally capsized, after which authorities took him into custody. Residents are demanding that he be allowed to return to Colombia. [size=no report]",0,1643662936,COL
