Protests,Police_Brutality,Commidity_Price,GDP_per_Capita,Unemployment_Rate,Death_Violence,Higher_Education_Enrollment,Population,Information_Access,Life_Quality,Past_Protests,log_Police_Brutality,log_Population,log_Protests,log_GDP_per_Capita,Peaceful_Protests,log_Peaceful_Protests,Violent_Demostration,log_Violent_Demostration,log_Past_Protests,log_Escalation,ln_Escalation,Escalation,Ratio_Vio_Pea,log_Ratio_Vio_Pea,ln_Ratio_Vio_Pea,GDP_2019,GDP_2020,Recession,uhat,uhatsq,yhat,yhatsq,yhatcub,ln_Recession,Recession_sqr,ln_GDP_per_Capita
60,305,,22.411976,17.875,,,19.99979,,,100,5.7203116,2.9957218,4.0943446,3.1095955,38,3.6375861,22,3.0910425,4.6051702,2.7725887,2.7725887,-16,-.26666668,-1.3217558,-1.3217558,153378.86,149665.61,-.02420966,-.64803249,.4199461,-.67372328,.45390305,-.30580506,-3.7210035,.00058610761,3.1095955
2,4,,17.498133,,,,.69264001,,,2,1.3862944,-.3672449,.69314718,2.8620942,2,.69314718,0,,.69314718,.69314718,.69314718,-2,-1,0,0,5663.7637,5148.0557,-.09105394,.52266449,.27317816,-.52266449,.27317816,-.14278053,-2.3963032,.0082908198,2.8620942
51,92,,16.502811,11.598,,,13.80425,,,122,4.5217886,2.6249764,3.9318256,2.8035307,36,3.583519,15,2.7080503,4.8040209,3.0445225,3.0445225,-21,-.41176471,-.88730317,-.88730317,46667.52,44922.77,-.037386816,-.53019398,.28110567,-.35710919,.12752697,-.045541056,-3.286437,.001397774,2.8035307
85,25,,15.819028,11.534,,,9.5202398,,,215,3.2188759,2.2534201,4.4426513,2.7612135,77,4.3438053,8,2.0794415,5.3706379,4.2341065,4.2341065,-69,-.81176472,-.20854473,-.20854473,38372.813,34500.922,-.10090192,.26207465,.068683125,-.47061938,.2214826,-.104234,-2.2936063,.010181198,2.7612135
9,39,,21.898638,19.816999,,,1.17479,,,2,3.6635616,.16108944,2.1972246,3.0864244,9,2.1972246,0,,.69314718,2.1972246,2.1972246,-9,-1,0,0,28696.379,27214.117,-.051653266,.77394462,.59899026,-.77394462,.59899026,-.46358529,-2.9632018,.0026680599,3.0864244
30,127,,16.725662,18.944,,,3.57814,,,40,4.8441873,1.2748431,3.4011974,2.8169441,17,2.8332133,13,2.5649493,3.6888795,1.3862944,1.3862944,-4,-.13333334,-2.0149031,-2.0149031,17024.844,17034.301,.00055548415,-.91343778,.83436859,-1.1014653,1.213226,-1.3363262,,3.0856265e-07,2.8169441
2,3,,10.184468,16.794001,,,1.30337,,,3,1.0986123,.26495323,.69314718,2.3208637,0,,2,.69314718,1.0986123,.69314718,.69314718,2,1,,,4300.6201,4180.938,-.02782904,,,-.59810776,.35773289,-.21396281,-3.5816753,.00077445543,2.3208637
5,13,,30.148956,,,,.61028999,,,5,2.5649493,-.49382105,1.6094379,3.4061503,5,1.6094379,0,,1.6094379,1.6094379,1.6094379,-5,-1,0,0,16382.431,13120.675,-.19910085,.36400989,.1325032,-.36400989,.1325032,-.048232473,-1.6139438,.039641149,3.4061503
29,124,,12.229267,18.945,,,2.58653,,,10,4.8202815,.9503172,3.3672957,2.5038321,16,2.7725887,13,2.5649493,2.3025851,1.0986123,1.0986123,-3,-.10344828,-2.2686834,-2.2686834,18777.297,18245.297,-.028332086,-1.3221895,1.7481849,-.94649404,.89585096,-.84791762,-3.5637603,.0008027071,2.5038321
11,4,,12.978308,20.448999,,,3.08237,,,14,1.3862944,1.1256988,2.3978953,2.5632794,8,2.0794415,3,1.0986123,2.6390574,1.6094379,1.6094379,-5,-.45454547,-.78845733,-.78845733,20796.488,16811.934,-.19159748,-.76382488,.58342844,-.024632476,.00060675887,-.000014945974,-1.6523585,.036709592,2.5632794
