event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,admin1,admin2,admin3,location,source_scale,notes,fatalities
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Yopal,,Yopal,National,"Around 1 June 2021 (as reported), in Yopal (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Yopal,,Yopal,National,"Around 1 June 2021 (as reported), near Yopal municipality (Casanare), peaceful protesters rallied near the La Cabuya bridge during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked the road for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Aguazul,,Aguazul,National,"Around 1 June 2021 (as reported), in Aguazul municipality (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Pore,,Pore,National,"Around 1 June 2021 (as reported), in Pore municipality (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Monterrey,,Monterrey,National,"Around 1 June 2021 (as reported), in Monterrey municipality (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Tauramena,,Tauramena,National,"Around 1 June 2021 (as reported), in Tauramena municipality (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Villanueva,,Villanueva,National,"Around 1 June 2021 (as reported), in Villanueva municipality (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Casanare,Paz de Ariporo,,Paz De Ariporo,National,"Around 1 June 2021 (as reported), in Paz De Ariporo municipality (Casanare), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Reports claimed that protesters blocked some of the roads in the municipality for several days. [size=no report]",0
1-Jun-21,Protests,Protest with intervention,Protesters (Colombia),CNP: National Strike Committee,6,Police Forces of Colombia (2018-),,1,16,Tolima,Ibague,,Ibague,National,"On 1 June 2021, in Ibague (Tolima), dozens of peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Moreover, protesters gathered near the city hall to demand justice for a teenager killed in an incident of excessive use of force against protesters by police officers. In another area of the city, police forces arrested a group of ten people taking part in the demonstrations near the Sena Bridge. [size=dozens]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Cundinamarca,Facatativa,,Facatativa,National,"Around 1 June 2021 (as reported), in Facatativa municipality (Cundinamarca), protesters blocked the municipal roads during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
